citation_id,answer_id,document_id,category,confidence_score,validity_prob,is_valid,data_type
CIT-00001,ANS-0001,DOC-0001,SOP & Sirkular Internal,0.94,0.884,True,calculated
CIT-00002,ANS-0001,DOC-0021,Kontrak & Perjanjian Vendor,0.94,0.8039999999999999,True,calculated
CIT-00003,ANS-0002,DOC-0010,Referensi Regulasi Eksternal,0.978,0.7173,True,calculated
CIT-00004,ANS-0003,DOC-0023,SOP & Sirkular Internal,0.967,0.8934500000000001,True,calculated
CIT-00005,ANS-0004,DOC-0040,Referensi Regulasi Eksternal,0.987,0.72045,False,calculated
CIT-00006,ANS-0005,DOC-0022,Referensi Regulasi Eksternal,0.954,0.7089,False,calculated
CIT-00007,ANS-0006,DOC-0019,SOP & Sirkular Internal,0.945,0.88575,True,calculated
CIT-00008,ANS-0006,DOC-0013,Kontrak & Perjanjian Vendor,0.945,0.80575,True,calculated
CIT-00009,ANS-0007,DOC-0011,Referensi Regulasi Eksternal,0.694,0.6179,False,calculated
CIT-00010,ANS-0007,DOC-0033,Kontrak & Perjanjian Vendor,0.694,0.7179,True,calculated
CIT-00011,ANS-0008,DOC-0025,Kontrak & Perjanjian Vendor,0.932,0.8012,True,calculated
CIT-00012,ANS-0008,DOC-0030,SOP & Sirkular Internal,0.932,0.8812000000000001,True,calculated
CIT-00013,ANS-0009,DOC-0018,Kontrak & Perjanjian Vendor,0.946,0.8060999999999999,True,calculated
CIT-00014,ANS-0009,DOC-0011,Referensi Regulasi Eksternal,0.946,0.7061,False,calculated
CIT-00015,ANS-0010,DOC-0020,SOP & Sirkular Internal,0.732,0.8112,True,calculated
CIT-00016,ANS-0010,DOC-0015,Kontrak & Perjanjian Vendor,0.732,0.7312,True,calculated
CIT-00017,ANS-0011,DOC-0031,SOP & Sirkular Internal,0.904,0.8714000000000001,True,calculated
CIT-00018,ANS-0011,DOC-0007,Kontrak & Perjanjian Vendor,0.904,0.7914,False,calculated
CIT-00019,ANS-0012,DOC-0033,Kontrak & Perjanjian Vendor,0.885,0.78475,True,calculated
CIT-00020,ANS-0012,DOC-0020,SOP & Sirkular Internal,0.885,0.86475,False,calculated
CIT-00021,ANS-0013,DOC-0013,Kontrak & Perjanjian Vendor,0.864,0.7774,False,calculated
CIT-00022,ANS-0013,DOC-0013,Kontrak & Perjanjian Vendor,0.864,0.7774,True,calculated
CIT-00023,ANS-0014,DOC-0011,Referensi Regulasi Eksternal,0.755,0.63925,False,calculated
CIT-00024,ANS-0015,DOC-0022,Referensi Regulasi Eksternal,0.356,0.49960000000000004,False,calculated
CIT-00025,ANS-0015,DOC-0018,Kontrak & Perjanjian Vendor,0.356,0.5996,False,calculated
CIT-00026,ANS-0016,DOC-0017,SOP & Sirkular Internal,0.549,0.7471500000000001,True,calculated
CIT-00027,ANS-0016,DOC-0011,Referensi Regulasi Eksternal,0.549,0.56715,True,calculated
CIT-00028,ANS-0017,DOC-0008,Kontrak & Perjanjian Vendor,0.87,0.7795,True,calculated
CIT-00029,ANS-0017,DOC-0026,Referensi Regulasi Eksternal,0.87,0.6795,True,calculated
CIT-00030,ANS-0018,DOC-0031,SOP & Sirkular Internal,0.588,0.7608,False,calculated
CIT-00031,ANS-0019,DOC-0005,SOP & Sirkular Internal,0.89,0.8665,True,calculated
CIT-00032,ANS-0019,DOC-0020,SOP & Sirkular Internal,0.89,0.8665,True,calculated
CIT-00033,ANS-0020,DOC-0001,SOP & Sirkular Internal,0.978,0.8973,True,calculated
CIT-00034,ANS-0020,DOC-0013,Kontrak & Perjanjian Vendor,0.978,0.8172999999999999,True,calculated
CIT-00035,ANS-0021,DOC-0033,Kontrak & Perjanjian Vendor,0.866,0.7781,False,calculated
CIT-00036,ANS-0021,DOC-0010,Referensi Regulasi Eksternal,0.866,0.6781,True,calculated
CIT-00037,ANS-0022,DOC-0014,Kontrak & Perjanjian Vendor,0.917,0.7959499999999999,True,calculated
CIT-00038,ANS-0023,DOC-0021,Kontrak & Perjanjian Vendor,0.948,0.8068,True,calculated
CIT-00039,ANS-0024,DOC-0040,Referensi Regulasi Eksternal,0.964,0.7124,True,calculated
CIT-00040,ANS-0024,DOC-0033,Kontrak & Perjanjian Vendor,0.964,0.8124,False,calculated
CIT-00041,ANS-0025,DOC-0020,SOP & Sirkular Internal,0.942,0.8847,True,calculated
CIT-00042,ANS-0025,DOC-0027,Kontrak & Perjanjian Vendor,0.942,0.8047,True,calculated
CIT-00043,ANS-0026,DOC-0014,Kontrak & Perjanjian Vendor,0.88,0.783,True,calculated
CIT-00044,ANS-0027,DOC-0003,SOP & Sirkular Internal,0.69,0.7965000000000001,True,calculated
CIT-00045,ANS-0027,DOC-0007,Kontrak & Perjanjian Vendor,0.69,0.7165,False,calculated
CIT-00046,ANS-0028,DOC-0038,SOP & Sirkular Internal,0.966,0.8931,False,calculated
CIT-00047,ANS-0028,DOC-0024,SOP & Sirkular Internal,0.966,0.8931,True,calculated
CIT-00048,ANS-0029,DOC-0021,Kontrak & Perjanjian Vendor,0.938,0.8032999999999999,True,calculated
CIT-00049,ANS-0030,DOC-0036,SOP & Sirkular Internal,0.687,0.7954500000000001,True,calculated
CIT-00050,ANS-0030,DOC-0002,Referensi Regulasi Eksternal,0.687,0.61545,False,calculated
CIT-00051,ANS-0031,DOC-0022,Referensi Regulasi Eksternal,0.705,0.62175,True,calculated
CIT-00052,ANS-0032,DOC-0005,SOP & Sirkular Internal,0.979,0.8976500000000001,False,calculated
CIT-00053,ANS-0033,DOC-0030,SOP & Sirkular Internal,0.951,0.88785,True,calculated
CIT-00054,ANS-0034,DOC-0037,SOP & Sirkular Internal,0.869,0.8591500000000001,True,calculated
CIT-00055,ANS-0035,DOC-0014,Kontrak & Perjanjian Vendor,0.91,0.7935,True,calculated
CIT-00056,ANS-0035,DOC-0008,Kontrak & Perjanjian Vendor,0.91,0.7935,True,calculated
CIT-00057,ANS-0036,DOC-0017,SOP & Sirkular Internal,0.976,0.8966000000000001,True,calculated
CIT-00058,ANS-0037,DOC-0016,Kontrak & Perjanjian Vendor,0.922,0.7977,True,calculated
CIT-00059,ANS-0038,DOC-0018,Kontrak & Perjanjian Vendor,0.689,0.71615,False,calculated
CIT-00060,ANS-0038,DOC-0014,Kontrak & Perjanjian Vendor,0.689,0.71615,True,calculated
CIT-00061,ANS-0039,DOC-0023,SOP & Sirkular Internal,0.93,0.8805000000000001,True,calculated
CIT-00062,ANS-0039,DOC-0022,Referensi Regulasi Eksternal,0.93,0.7005,True,calculated
CIT-00063,ANS-0040,DOC-0001,SOP & Sirkular Internal,0.69,0.7965000000000001,True,calculated
CIT-00064,ANS-0041,DOC-0028,SOP & Sirkular Internal,0.649,0.7821500000000001,True,calculated
CIT-00065,ANS-0042,DOC-0022,Referensi Regulasi Eksternal,0.307,0.48245000000000005,False,calculated
CIT-00066,ANS-0043,DOC-0038,SOP & Sirkular Internal,0.861,0.8563500000000001,False,calculated
CIT-00067,ANS-0043,DOC-0039,SOP & Sirkular Internal,0.861,0.8563500000000001,True,calculated
CIT-00068,ANS-0044,DOC-0025,Kontrak & Perjanjian Vendor,0.73,0.7304999999999999,True,calculated
CIT-00069,ANS-0045,DOC-0010,Referensi Regulasi Eksternal,0.786,0.6501,False,calculated
CIT-00070,ANS-0046,DOC-0011,Referensi Regulasi Eksternal,0.976,0.7166,True,calculated
CIT-00071,ANS-0046,DOC-0018,Kontrak & Perjanjian Vendor,0.976,0.8166,False,calculated
CIT-00072,ANS-0047,DOC-0009,SOP & Sirkular Internal,0.87,0.8595,True,calculated
CIT-00073,ANS-0048,DOC-0022,Referensi Regulasi Eksternal,0.986,0.7201,True,calculated
CIT-00074,ANS-0049,DOC-0024,SOP & Sirkular Internal,0.582,0.7587,True,calculated
CIT-00075,ANS-0050,DOC-0036,SOP & Sirkular Internal,0.938,0.8833,True,calculated
CIT-00076,ANS-0051,DOC-0020,SOP & Sirkular Internal,0.887,0.86545,False,calculated
CIT-00077,ANS-0052,DOC-0033,Kontrak & Perjanjian Vendor,0.956,0.8096,True,calculated
CIT-00078,ANS-0053,DOC-0030,SOP & Sirkular Internal,0.89,0.8665,False,calculated
CIT-00079,ANS-0054,DOC-0027,Kontrak & Perjanjian Vendor,0.926,0.7991,True,calculated
CIT-00080,ANS-0055,DOC-0017,SOP & Sirkular Internal,0.876,0.8616,True,calculated
CIT-00081,ANS-0056,DOC-0022,Referensi Regulasi Eksternal,0.913,0.69455,False,calculated
CIT-00082,ANS-0056,DOC-0028,SOP & Sirkular Internal,0.913,0.87455,True,calculated
CIT-00083,ANS-0057,DOC-0022,Referensi Regulasi Eksternal,0.965,0.71275,True,calculated
CIT-00084,ANS-0058,DOC-0035,Referensi Regulasi Eksternal,0.946,0.7061,False,calculated
CIT-00085,ANS-0058,DOC-0034,SOP & Sirkular Internal,0.946,0.8861,True,calculated
