citation_id,answer_id,document_id,chunk_id,page,section,bbox,data_type
CIT-00001,ANS-0001,DOC-0001,Chunk_0042,14,Sec. 3.2 Approval,"x:105-310,y:420-435",synthetic
CIT-00002,ANS-0001,DOC-0021,Chunk_1410,12,Sec. 3.6,"x:272-488,y:219-517",synthetic
CIT-00003,ANS-0002,DOC-0010,Chunk_6550,25,Sec. 8.7,"x:112-500,y:122-518",synthetic
CIT-00004,ANS-0003,DOC-0023,Chunk_0154,12,Sec. 5.6,"x:278-690,y:158-568",synthetic
CIT-00005,ANS-0004,DOC-0040,Chunk_5261,30,Sec. 5.2,"x:247-689,y:331-618",synthetic
CIT-00006,ANS-0005,DOC-0022,Chunk_2096,1,Sec. 4.8,"x:206-593,y:442-652",synthetic
CIT-00007,ANS-0006,DOC-0019,Chunk_2806,19,Sec. 4.7,"x:193-681,y:174-534",synthetic
CIT-00008,ANS-0006,DOC-0013,Chunk_7640,27,Sec. 3.1,"x:162-539,y:265-684",synthetic
CIT-00009,ANS-0007,DOC-0011,Chunk_0221,4,Sec. 4.5,"x:288-488,y:144-565",synthetic
CIT-00010,ANS-0007,DOC-0033,Chunk_9864,25,Sec. 5.1,"x:388-445,y:207-694",synthetic
CIT-00011,ANS-0008,DOC-0025,Chunk_5021,3,Sec. 3.8,"x:154-667,y:317-631",synthetic
CIT-00012,ANS-0008,DOC-0030,Chunk_5514,1,Sec. 8.4,"x:279-566,y:363-570",synthetic
CIT-00013,ANS-0009,DOC-0018,Chunk_6532,24,Sec. 5.1,"x:186-414,y:301-637",synthetic
CIT-00014,ANS-0009,DOC-0011,Chunk_7570,10,Sec. 3.4,"x:130-640,y:423-583",synthetic
CIT-00015,ANS-0010,DOC-0020,Chunk_1548,12,Sec. 4.2,"x:229-638,y:282-589",synthetic
CIT-00016,ANS-0010,DOC-0015,Chunk_2803,32,Sec. 7.1,"x:56-649,y:169-614",synthetic
CIT-00017,ANS-0011,DOC-0031,Chunk_5506,14,Sec. 7.6,"x:343-554,y:476-653",synthetic
CIT-00018,ANS-0011,DOC-0007,Chunk_2939,18,Sec. 1.6,"x:169-462,y:315-686",synthetic
CIT-00019,ANS-0012,DOC-0033,Chunk_0037,24,Sec. 8.5,"x:269-558,y:104-531",synthetic
CIT-00020,ANS-0012,DOC-0020,Chunk_9142,2,Sec. 5.3,"x:52-675,y:107-671",synthetic
CIT-00021,ANS-0013,DOC-0013,Chunk_1620,35,Sec. 5.4,"x:288-502,y:211-557",synthetic
CIT-00022,ANS-0013,DOC-0013,Chunk_6010,10,Sec. 2.8,"x:230-658,y:232-557",synthetic
CIT-00023,ANS-0014,DOC-0011,Chunk_7790,14,Sec. 3.8,"x:250-518,y:103-612",synthetic
CIT-00024,ANS-0015,DOC-0022,Chunk_2307,2,Sec. 8.5,"x:59-431,y:290-623",synthetic
CIT-00025,ANS-0015,DOC-0018,Chunk_3657,30,Sec. 8.4,"x:195-508,y:154-510",synthetic
CIT-00026,ANS-0016,DOC-0017,Chunk_8208,2,Sec. 6.8,"x:312-618,y:205-619",synthetic
CIT-00027,ANS-0016,DOC-0011,Chunk_4253,1,Sec. 8.2,"x:390-679,y:107-647",synthetic
CIT-00028,ANS-0017,DOC-0008,Chunk_8127,1,Sec. 2.8,"x:309-433,y:157-551",synthetic
CIT-00029,ANS-0017,DOC-0026,Chunk_1826,22,Sec. 1.3,"x:159-691,y:489-669",synthetic
CIT-00030,ANS-0018,DOC-0031,Chunk_5043,32,Sec. 6.8,"x:242-675,y:397-647",synthetic
CIT-00031,ANS-0019,DOC-0005,Chunk_6085,8,Sec. 6.3,"x:329-571,y:384-544",synthetic
CIT-00032,ANS-0019,DOC-0020,Chunk_8025,6,Sec. 3.6,"x:355-621,y:288-559",synthetic
CIT-00033,ANS-0020,DOC-0001,Chunk_8967,15,Sec. 4.2,"x:384-660,y:169-549",synthetic
CIT-00034,ANS-0020,DOC-0013,Chunk_4155,18,Sec. 3.6,"x:364-675,y:282-665",synthetic
CIT-00035,ANS-0021,DOC-0033,Chunk_7939,10,Sec. 6.6,"x:380-684,y:421-601",synthetic
CIT-00036,ANS-0021,DOC-0010,Chunk_4412,25,Sec. 2.5,"x:287-406,y:353-552",synthetic
CIT-00037,ANS-0022,DOC-0014,Chunk_0089,5,Sec. 4.5,"x:88-508,y:223-606",synthetic
CIT-00038,ANS-0023,DOC-0021,Chunk_5300,20,Sec. 5.3,"x:218-442,y:194-587",synthetic
CIT-00039,ANS-0024,DOC-0040,Chunk_9627,24,Sec. 1.5,"x:253-413,y:254-674",synthetic
CIT-00040,ANS-0024,DOC-0033,Chunk_4565,6,Sec. 1.3,"x:320-694,y:364-666",synthetic
CIT-00041,ANS-0025,DOC-0020,Chunk_4269,3,Sec. 4.7,"x:237-628,y:120-540",synthetic
CIT-00042,ANS-0025,DOC-0027,Chunk_3593,18,Sec. 4.6,"x:275-525,y:486-544",synthetic
CIT-00043,ANS-0026,DOC-0014,Chunk_6537,7,Sec. 7.2,"x:137-446,y:174-645",synthetic
CIT-00044,ANS-0027,DOC-0003,Chunk_8606,1,Sec. 5.1,"x:384-590,y:403-614",synthetic
CIT-00045,ANS-0027,DOC-0007,Chunk_6859,19,Sec. 2.7,"x:304-425,y:474-536",synthetic
CIT-00046,ANS-0028,DOC-0038,Chunk_1961,6,Sec. 6.6,"x:170-646,y:119-670",synthetic
CIT-00047,ANS-0028,DOC-0024,Chunk_6206,16,Sec. 3.4,"x:339-659,y:194-601",synthetic
CIT-00048,ANS-0029,DOC-0021,Chunk_3791,1,Sec. 8.6,"x:211-432,y:128-595",synthetic
CIT-00049,ANS-0030,DOC-0036,Chunk_7443,7,Sec. 1.5,"x:113-404,y:152-556",synthetic
CIT-00050,ANS-0030,DOC-0002,Chunk_9895,5,Sec. 1.2,"x:161-461,y:228-693",synthetic
CIT-00051,ANS-0031,DOC-0022,Chunk_6847,1,Sec. 2.4,"x:211-403,y:357-560",synthetic
CIT-00052,ANS-0032,DOC-0005,Chunk_9486,19,Sec. 8.4,"x:91-464,y:237-560",synthetic
CIT-00053,ANS-0033,DOC-0030,Chunk_1868,20,Sec. 4.1,"x:247-652,y:270-563",synthetic
CIT-00054,ANS-0034,DOC-0037,Chunk_2786,22,Sec. 8.3,"x:373-656,y:130-598",synthetic
CIT-00055,ANS-0035,DOC-0014,Chunk_4568,13,Sec. 6.3,"x:258-473,y:455-516",synthetic
CIT-00056,ANS-0035,DOC-0008,Chunk_0378,1,Sec. 5.8,"x:209-454,y:247-525",synthetic
CIT-00057,ANS-0036,DOC-0017,Chunk_0356,5,Sec. 2.6,"x:335-632,y:367-638",synthetic
CIT-00058,ANS-0037,DOC-0016,Chunk_3812,2,Sec. 5.7,"x:157-659,y:279-549",synthetic
CIT-00059,ANS-0038,DOC-0018,Chunk_4053,32,Sec. 7.3,"x:108-409,y:135-665",synthetic
CIT-00060,ANS-0038,DOC-0014,Chunk_5059,15,Sec. 3.2,"x:54-601,y:114-521",synthetic
CIT-00061,ANS-0039,DOC-0023,Chunk_4897,4,Sec. 2.4,"x:175-560,y:166-546",synthetic
CIT-00062,ANS-0039,DOC-0022,Chunk_4244,2,Sec. 2.5,"x:224-463,y:379-568",synthetic
CIT-00063,ANS-0040,DOC-0001,Chunk_1391,20,Sec. 5.2,"x:247-411,y:341-507",synthetic
CIT-00064,ANS-0041,DOC-0028,Chunk_6146,2,Sec. 4.2,"x:185-636,y:136-643",synthetic
CIT-00065,ANS-0042,DOC-0022,Chunk_6945,1,Sec. 3.2,"x:254-416,y:136-606",synthetic
CIT-00066,ANS-0043,DOC-0038,Chunk_4607,8,Sec. 3.4,"x:343-618,y:217-650",synthetic
CIT-00067,ANS-0043,DOC-0039,Chunk_5067,15,Sec. 8.7,"x:396-602,y:243-521",synthetic
CIT-00068,ANS-0044,DOC-0025,Chunk_3632,5,Sec. 2.1,"x:235-577,y:251-648",synthetic
CIT-00069,ANS-0045,DOC-0010,Chunk_7631,2,Sec. 3.7,"x:238-625,y:234-507",synthetic
CIT-00070,ANS-0046,DOC-0011,Chunk_6395,11,Sec. 1.6,"x:281-600,y:168-646",synthetic
CIT-00071,ANS-0046,DOC-0018,Chunk_8574,23,Sec. 6.4,"x:293-608,y:411-671",synthetic
CIT-00072,ANS-0047,DOC-0009,Chunk_7924,22,Sec. 5.6,"x:209-524,y:421-657",synthetic
CIT-00073,ANS-0048,DOC-0022,Chunk_3265,1,Sec. 8.2,"x:121-480,y:296-533",synthetic
CIT-00074,ANS-0049,DOC-0024,Chunk_2179,4,Sec. 8.5,"x:54-430,y:425-553",synthetic
CIT-00075,ANS-0050,DOC-0036,Chunk_8379,7,Sec. 6.4,"x:88-639,y:467-696",synthetic
CIT-00076,ANS-0051,DOC-0020,Chunk_6233,4,Sec. 8.1,"x:144-690,y:322-635",synthetic
CIT-00077,ANS-0052,DOC-0033,Chunk_0815,18,Sec. 1.2,"x:227-534,y:161-659",synthetic
CIT-00078,ANS-0053,DOC-0030,Chunk_0150,7,Sec. 3.5,"x:190-447,y:328-691",synthetic
CIT-00079,ANS-0054,DOC-0027,Chunk_4784,14,Sec. 2.2,"x:132-584,y:132-631",synthetic
CIT-00080,ANS-0055,DOC-0017,Chunk_8620,5,Sec. 7.8,"x:131-656,y:170-566",synthetic
CIT-00081,ANS-0056,DOC-0022,Chunk_5776,4,Sec. 4.5,"x:216-543,y:334-620",synthetic
CIT-00082,ANS-0056,DOC-0028,Chunk_1357,1,Sec. 4.2,"x:112-685,y:212-647",synthetic
CIT-00083,ANS-0057,DOC-0022,Chunk_2125,3,Sec. 7.2,"x:242-635,y:109-505",synthetic
CIT-00084,ANS-0058,DOC-0035,Chunk_9093,3,Sec. 8.8,"x:338-515,y:496-569",synthetic
CIT-00085,ANS-0058,DOC-0034,Chunk_0058,13,Sec. 5.8,"x:173-493,y:308-672",synthetic
CIT-00086,ANS-0059,DOC-0037,Chunk_2145,18,Sec. 6.8,"x:70-515,y:135-580",synthetic
CIT-00087,ANS-0059,DOC-0026,Chunk_6400,28,Sec. 6.8,"x:357-575,y:450-509",synthetic
CIT-00088,ANS-0060,DOC-0022,Chunk_9568,4,Sec. 2.6,"x:382-404,y:125-632",synthetic
CIT-00089,ANS-0060,DOC-0029,Chunk_5485,2,Sec. 5.5,"x:347-517,y:239-516",synthetic
CIT-00090,ANS-0061,DOC-0021,Chunk_2807,17,Sec. 8.2,"x:250-608,y:107-535",synthetic
CIT-00091,ANS-0061,DOC-0027,Chunk_1374,7,Sec. 2.8,"x:259-498,y:411-503",synthetic
CIT-00092,ANS-0062,DOC-0016,Chunk_8092,1,Sec. 5.7,"x:329-452,y:490-554",synthetic
CIT-00093,ANS-0062,DOC-0012,Chunk_1921,3,Sec. 3.2,"x:306-579,y:256-609",synthetic
CIT-00094,ANS-0063,DOC-0007,Chunk_2969,20,Sec. 1.8,"x:387-475,y:228-541",synthetic
CIT-00095,ANS-0063,DOC-0036,Chunk_2139,13,Sec. 4.8,"x:348-520,y:338-504",synthetic
CIT-00096,ANS-0064,DOC-0033,Chunk_4729,11,Sec. 1.7,"x:192-541,y:261-599",synthetic
CIT-00097,ANS-0065,DOC-0010,Chunk_5494,5,Sec. 7.3,"x:55-411,y:409-577",synthetic
CIT-00098,ANS-0065,DOC-0005,Chunk_8113,7,Sec. 8.8,"x:66-607,y:341-534",synthetic
CIT-00099,ANS-0066,DOC-0007,Chunk_1461,16,Sec. 3.8,"x:330-590,y:147-504",synthetic
CIT-00100,ANS-0067,DOC-0032,Chunk_7812,5,Sec. 6.1,"x:142-579,y:431-655",synthetic
CIT-00101,ANS-0068,DOC-0001,Chunk_2934,37,Sec. 1.6,"x:296-625,y:186-548",synthetic
CIT-00102,ANS-0068,DOC-0021,Chunk_3936,13,Sec. 1.5,"x:133-568,y:221-690",synthetic
CIT-00103,ANS-0069,DOC-0005,Chunk_1751,2,Sec. 2.4,"x:365-452,y:413-639",synthetic
CIT-00104,ANS-0070,DOC-0001,Chunk_9475,34,Sec. 2.8,"x:192-423,y:425-673",synthetic
CIT-00105,ANS-0071,DOC-0017,Chunk_2346,6,Sec. 3.3,"x:225-480,y:348-649",synthetic
CIT-00106,ANS-0072,DOC-0007,Chunk_4313,22,Sec. 3.6,"x:237-683,y:187-539",synthetic
CIT-00107,ANS-0073,DOC-0031,Chunk_7473,18,Sec. 4.6,"x:311-482,y:102-514",synthetic
CIT-00108,ANS-0073,DOC-0037,Chunk_6816,11,Sec. 5.4,"x:138-624,y:389-692",synthetic
CIT-00109,ANS-0074,DOC-0023,Chunk_7047,5,Sec. 7.5,"x:342-484,y:105-528",synthetic
CIT-00110,ANS-0074,DOC-0027,Chunk_9614,12,Sec. 7.4,"x:385-682,y:187-672",synthetic
CIT-00111,ANS-0075,DOC-0025,Chunk_4372,12,Sec. 8.6,"x:98-441,y:146-560",synthetic
CIT-00112,ANS-0076,DOC-0036,Chunk_7649,14,Sec. 7.4,"x:293-683,y:121-680",synthetic
CIT-00113,ANS-0077,DOC-0019,Chunk_4486,19,Sec. 2.2,"x:153-401,y:300-595",synthetic
CIT-00114,ANS-0077,DOC-0031,Chunk_1764,36,Sec. 6.4,"x:302-511,y:186-634",synthetic
CIT-00115,ANS-0078,DOC-0029,Chunk_5663,1,Sec. 6.5,"x:194-473,y:491-575",synthetic
CIT-00116,ANS-0078,DOC-0036,Chunk_7063,8,Sec. 5.6,"x:179-445,y:166-687",synthetic
CIT-00117,ANS-0079,DOC-0032,Chunk_3194,20,Sec. 8.7,"x:237-542,y:446-671",synthetic
CIT-00118,ANS-0079,DOC-0025,Chunk_9641,31,Sec. 7.1,"x:95-489,y:404-515",synthetic
CIT-00119,ANS-0080,DOC-0040,Chunk_1919,34,Sec. 6.6,"x:152-587,y:411-606",synthetic
CIT-00120,ANS-0081,DOC-0002,Chunk_3246,13,Sec. 8.7,"x:224-579,y:490-649",synthetic
CIT-00121,ANS-0081,DOC-0023,Chunk_2810,13,Sec. 8.1,"x:61-434,y:254-531",synthetic
CIT-00122,ANS-0082,DOC-0025,Chunk_1805,31,Sec. 2.7,"x:177-412,y:271-664",synthetic
CIT-00123,ANS-0082,DOC-0012,Chunk_1211,12,Sec. 3.4,"x:88-691,y:416-628",synthetic
CIT-00124,ANS-0083,DOC-0006,Chunk_1434,1,Sec. 2.1,"x:221-548,y:111-632",synthetic
CIT-00125,ANS-0083,DOC-0004,Chunk_7928,22,Sec. 7.1,"x:354-564,y:445-639",synthetic
