source,source_id,url,title,brand,model,cpu,ram_gb,storage_gb,gpu,screen_size_in,price_idr,original_price_idr,condition,seller_name,seller_rating,seller_num_reviews,seller_is_official,sold_count,location,scraped_at,is_suspected_scam,scam_reasons
tokopedia,103175613088,https://www.tokopedia.com/royalltech/laptop-asus-vivobook-f1504vap-intel-core-i5-120u-i5-1235u-16gb-512gb-ssd-15-6-fhd-ips-windows-11-f1504za-f1502za-1730412882049598967-1734913183835784695?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D2026082712201840008B9A5380FC1F3H5D%26src%3Dsearch,Laptop ASUS Vivobook F1504VAP Intel Core i5-120U 16GB 512GB SSD 15.6”FHD IPS Windows 11 - F1504ZA / F1502ZA,Asus,F1504VAP,,16,512,,15.6,11309000,,new,royalltech,4.6,,False,,Jakarta Utara,2026-08-27T12:20:22.474842,False,
"tokopedia,16489294854,https://www.tokopedia.com/gameridsurabaya/laptop-asus-vivobook-14-a1407qa-snapdragon-x-x1-26100-ram-16-gb-ssd-512-gb-windows-11-office-home-student-14-wuxga-1731051158758066131?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D2026082712201840008B9A5380FC1F3H5D%26src%3Dsearch,""Laptop ASUS Vivobook 14 A1407QA Snapdragon X X1 26100 RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"""" WUXGA"",Asus,A1407QA,SNAPDRAGON X X1 26100 RAM 16 GB SSD 512 GB WINDOWS 11 + OFFICE HOME STUDENT 14,16,512,,14,11029000,,new,Gamer ID Surabaya,5.0,,False,,Surabaya,2026-08-27T12:20:22.474981,False,"
tokopedia,103573992816,https://www.tokopedia.com/rogsstoreid/hp-pavilion-16-touch-core-ultra-5-125u-16gb-1tb-ssd-w11-ohs-16-wuxga-af0777tu-1736480563263210828?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D2026082712201840008B9A5380FC1F3H5D%26src%3Dsearch,[LIMITED] ASUS ROG STRIX G18 G814FP RTX5070 AMD RYZEN 9 9955HX RAM 64GB SSD 2TB W11 18-INCH QHD IPS 240HZ LAPTOP GAMING,Asus,G814FP,RYZEN 9 9955HX,64,2048,RTX5070,55,69999000,,new,ROGS STORE,5.0,,False,,Jakarta Utara,2026-08-27T12:20:22.475065,False,
"tokopedia,100520669093,https://www.tokopedia.com/gateway/asus-vivobook-s16-flip-oled-tp3604va-touch-core-i5-1335-16gb-1tb-ssd-w11-16-fhd-1731478598664095157?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D2026082712201840008B9A5380FC1F3H5D%26src%3Dsearch,""ASUS VIVOBOOK S16 FLIP OLED TP3604VA TOUCH CORE I5 1335 16GB 1TB W11 16"""" FHD IPS LAPTOP"",Asus,TP3604VA,I5 1335,16,,,16,11829000,,new,Gateway Indonesia Comp,5.0,,False,,Jakarta Utara,2026-08-27T12:20:22.475133,False,"
tokopedia,15584270889,https://www.tokopedia.com/asusrogindonesia/laptop-asus-tuf-a16-fa607nug-ryzen-7-7445hs-rtx4050-6gb-16gb-512gb-w11-ohs-m365b-ips-gry-r745j6m-hm-1730769219834447498?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D2026082712201840008B9A5380FC1F3H5D%26src%3Dsearch,Laptop ASUS TUF A16 FA607NUG RYZEN 7 7445HS RTX4050 6GB/ 16GB 512GB W11+OHS+M365B IPS GRY -R745J6M-HM,Asus,FA607NUG,RYZEN 7 7445HS,16,,RTX4050,7,22379000,,new,ASUS ROG Indonesia,5.0,,False,,Jakarta Utara,2026-08-27T12:20:22.475198,False,
tokopedia,102316114277,https://www.tokopedia.com/gateway/asus-zenbook-14-oled-um3406ha-touch-ryzen-7-8840-16gb-1tb-ssd-w11-14-inch-2-8k-1732626294180971957?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D2026082712201840008B9A5380FC1F3H5D%26src%3Dsearch,ASUS ZENBOOK 14 OLED UM3406HA TOUCH RYZEN 7 8840 16GB 1TB SSD W11 14 INCH 2.8K LAPTOP,Asus,UM3406HA,RYZEN 7 8840,16,1024,,14,17549000,,new,Gateway Indonesia Comp,5.0,,False,,Jakarta Utara,2026-08-27T12:20:22.475258,False,
"tokopedia,103106494804,https://www.tokopedia.com/gateway/asus-tuf-gaming-a15-ryzen-7-7445hs-rtx3050-16gb-512gb-w11-office-15-6-inch-fhd-fa506ncg-1729962642812274101-1734690458514195893?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D2026082712201840008B9A5380FC1F3H5D%26src%3Dsearch,""ASUS TUF GAMING A15 FA506NCG RYZEN 7 7445HS RTX3050 32GB 1TB W11+OHS+M365B 15.6"""" FHD IPS LAPTOP GAMING"",Asus,FA506NCG,RYZEN 7 7445HS,32,,RTX3050,6,14259000,,new,Gateway Indonesia Comp,5.0,,False,,Jakarta Utara,2026-08-27T12:20:22.475318,False,"
"tokopedia,103772938546,https://www.tokopedia.com/gateway/asus-vivobook-go-14-ryzen-3-7320u-8gb-512gb-ssd-windows-11-office-14-0-fhd-e1404fa-laptop-sekolah-kerja-kuliah-1729885440520848821-1737125716294206901?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D2026082712201840008B9A5380FC1F3H5D%26src%3Dsearch,""ASUS VIVOBOOK GO 14 E1404FA RYZEN 3 7320 8GB 512GB W11+OHS+M365B 14"""" FHD VIPS LAPTOP"",Asus,E1404FA,RYZEN 3 7320,8,,,14,9389000,,new,Gateway Indonesia Comp,5.0,,False,,Jakarta Utara,2026-08-27T12:20:22.475390,False,"
"tokopedia,103568217966,https://www.tokopedia.com/gateway/asus-zenbook-14-oled-um3402ya-touch-ryzen-7-7730-ryzen-5-7530-16gb-1tb-ssd-w11-14-inch-2-8k-1729899868308407733-1736464321747846581?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D2026082712201840008B9A5380FC1F3H5D%26src%3Dsearch,""ASUS VIVOBOOK 15 F1504ZA TOUCH CORE I7 1255 16GB 512GB W11 15.6"""" FHD IPS LAPTOP"",Asus,F1504ZA,I7 1255,16,,,15.6,12149000,,new,Gateway Indonesia Comp,5.0,,False,,Jakarta Utara,2026-08-27T12:20:22.475454,False,"
tokopedia,103460841222,https://www.tokopedia.com/herlinacom/laptop-asus-vivobook-14-a1404vap-intel-core-i7-150u-ram-16gb-ssd-1tb-win-11-ohs-14-0fhd-ips-garansi-resmi-1733620005736383886-1735961438475945358?extParam=ivf%3Dtrue%26keyword%3Dlaptop+asus%26search_id%3D2026082712201840008B9A5380FC1F3H5D%26src%3Dsearch,Laptop Asus Vivobook 14 A1404VAP Intel Core I7 150U RAM 16GB SSD 1TB Win 11+OHS 14.0FHD IPS Garansi Resmi,Asus,A1404VAP,,16,1024,,,16069000,,new,Herlinacom,5.0,,False,,Depok,2026-08-27T12:20:22.475526,False,
