po_id,po_date,business_unit,spec_id,cpu_tier,ram_gb,storage_gb,dedicated_gpu,qty,historical_unit_price_rp,current_quote_unit_price_rp,vendor,has_benchmark_reference,has_supporting_doc,data_type,historical_total_rp,current_quote_total_rp
PO-02400,2026-05-13,Operations,SPEC-ENTRY,entry,8,256,False,15,5112000.0,5297000.0,Vendor B,False,True,synthetic,76680000.0,79455000.0
PO-02401,2026-05-21,Finance & Risk,SPEC-MID,mid,16,512,False,10,7679000.0,8586000.0,Vendor C,True,True,synthetic,76790000.0,85860000.0
PO-02402,2025-12-27,IT & Digital,SPEC-PREMIUM,premium,16,512,False,25,19456000.0,22276000.0,Vendor D,True,True,synthetic,486400000.0,556900000.0
PO-02403,2026-01-21,Corporate Affairs,SPEC-PREMIUM,premium,16,512,False,15,22735000.0,18877000.0,Vendor E,True,True,synthetic,341025000.0,283155000.0
PO-02404,2025-08-09,Retail Banking,SPEC-PREMIUM,premium,16,512,False,30,19436000.0,21371000.0,Vendor C,True,False,synthetic,583080000.0,641130000.0
PO-02405,2025-08-09,Compliance,SPEC-MID,mid,16,512,False,10,7720000.0,9619000.0,Vendor A,True,True,synthetic,77200000.0,96190000.0
PO-02406,2025-03-17,Operations,SPEC-PREMIUM,premium,16,512,False,10,21098000.0,24525000.0,Vendor C,True,False,synthetic,210980000.0,245250000.0
PO-02407,2025-04-03,Finance & Risk,SPEC-ENTRY,entry,8,256,False,15,5870000.0,5524000.0,Vendor E,True,True,synthetic,88050000.0,82860000.0
PO-02408,2024-12-09,IT & Digital,SPEC-ENTRY,entry,8,256,False,20,5453000.0,5220000.0,Vendor C,False,True,synthetic,109060000.0,104400000.0
PO-02409,2024-12-25,Corporate Affairs,SPEC-MID,mid,16,512,False,10,8618000.0,8470000.0,Vendor B,False,True,synthetic,86180000.0,84700000.0
PO-02410,2025-03-09,Retail Banking,SPEC-PREMIUM,premium,16,512,False,15,20552000.0,18857000.0,Vendor B,True,True,synthetic,308280000.0,282855000.0
