request_id,department,seniority_level,employee_tenure_months,months_since_last_upgrade,travel_days_per_month,prior_replacements,requires_windows,is_urgent,laptop_brand,laptop_model,cpu,gpu,ram_gb,storage_gb,compute_tier,build_quality,portability,warranty_years,it_tickets_last_year,quantity,requested_unit_price,historical_avg_price,total_amount,vendor_risk_score,vendor_is_official,dept_budget_remaining,dept_policy_cap,target_uc1_is_match,target_uc2_months_to_failure,target_uc3_tco_idr,target_uc3_opex_idr,target_uc4_is_approved
REQ-2026-00000,HR,Staff,47,40,0.47,0,0,1,Lenovo,IdeaPad Slim 3,Core i3,Integrated,8,256,1,0.45,0.65,1,1,14,6796916,7944765,95156824,0.3,1,174765142,11250000,0,35.0,9793236.0,2996320.0,1
REQ-2026-00001,Medical Staff,Staff,38,50,1.57,1,1,0,Lenovo,ThinkPad P16,Core i9,RTX A2000,32,1024,4,0.9,0.25,1,2,25,42599559,35258537,1064988975,0.292,1,1052720594,16500000,0,45.0,46080009.0,3480450.0,0
REQ-2026-00002,Medical Staff,Staff,78,38,1.9,1,1,1,Asus,ExpertBook B9,Core i7,Iris Xe,16,1024,2,0.8,0.95,1,0,25,24459249,24802627,611481225,0.088,0,378512327,16500000,1,69.9,26105026.0,1645777.0,0
REQ-2026-00003,IT,Senior,36,33,0.98,0,0,0,HP,OmniBook 5,Ryzen 7,Radeon,32,512,2,0.65,0.8,1,0,18,21332041,21099898,383976738,0.126,1,479247086,32000000,1,32.9,23115834.0,1783793.0,0
REQ-2026-00004,Finance,Senior,45,35,1.01,1,1,0,Apple,MacBook Pro 14,M3 Pro,Apple GPU,18,512,4,0.95,0.85,2,1,24,35744659,32398323,857871816,0.758,1,730527349,20000000,0,43.3,42140761.0,6396102.0,0
REQ-2026-00005,Medical Staff,Manager,21,33,1.16,0,1,0,Asus,ROG Zephyrus,Core i9,RTX 4070,32,1536,4,0.55,0.3,1,1,11,37936393,36553571,417300323,0.364,0,714285338,29700000,1,42.3,42507621.0,4571228.0,1
REQ-2026-00006,Finance,Staff,67,18,0.69,0,0,0,Dell,Inspiron 15,Core i5,Integrated,8,1024,1,0.5,0.6,1,2,19,11712954,11245683,222546126,0.255,1,1119873324,15000000,1,58.6,15301746.0,3588792.0,1
REQ-2026-00007,HR,Staff,48,19,0.07,0,1,0,Dell,Inspiron 15,Core i5,Integrated,16,512,1,0.5,0.6,1,1,23,13925383,11026173,320283809,0.194,1,255740197,11250000,1,34.4,16788582.0,2863199.0,1
REQ-2026-00008,Design,Director,69,52,1.55,0,0,0,Lenovo,ThinkPad T14,Core i5,Integrated,16,1536,2,0.92,0.75,2,0,15,22851558,23024027,342773370,0.387,0,970561469,57000000,0,56.8,24898024.0,2046466.0,1
REQ-2026-00009,IT,Staff,19,51,0.33,0,0,0,HP,ProBook 445,Ryzen 5,Radeon,16,512,1,0.6,0.7,1,0,5,14166357,13563578,70831785,0.607,1,434711095,24000000,0,23.4,18051255.0,3884898.0,1
REQ-2026-00010,HR,Director,62,8,0.29,0,1,0,Asus,Vivobook 14,Core i5,Integrated,8,512,1,0.5,0.7,1,0,23,11455951,10335447,263486873,0.393,1,3658829122,28500000,1,35.0,13244243.0,1788292.0,1
REQ-2026-00011,Sales,Senior,86,70,1.97,0,1,0,Dell,Latitude 7450,Core i7,Integrated,16,512,2,0.85,0.85,1,0,10,21595322,22133782,215953220,0.649,0,241003247,18000000,0,47.2,23437518.0,1842196.0,1
