request_id,year,department,item_category,is_urgent,search_summary.specs_searched,search_summary.cheapest_vendor_found,search_summary.vendor_channel_type,requested_unit_price,historical_avg_price,quantity,vendor_risk_score,dept_budget_remaining,total_amount,price_variance_ratio,search_summary.real_price,search_summary.price_savings_vs_requested
PO-SYN-000001,2025,Direktorat Sistem Pengadaan Digital,Belanja Modal Alat Kantor,0,"Lenovo Yoga 7i 2in1, Intel Core Ultra 7, 16Gb RAM, 1Tb NVMe, Win 11 Pro",CV. MALILI TEKNO,mbizmarket.co.id,27047919.9,15609327.95,4,0.19,25110214.57,108191679.6,0.7328,27395479.17,-347559.27
PO-SYN-000002,2025,Kantor Inspektorat Kabupaten Lombok Barat,Hardware / Laptop,0,"Laptop Intel Ultra 7, 14 inch, 16GB RAM, 512GB SSD, Win 11 Pro",Sinar Niaga Teknologi,mbizmarket.co.id,46182478.73,30848300.18,1,0.09,0.0,46182478.73,0.4971,40392677.45,5789801.28
PO-SYN-000003,2021,Kantor Kecamatan Malili,Komputer/Laptop,1,AXIOO Mybook Pro F3 (4H9) i3-6157u/4GB/14,CV. JUMPA KARYA ABADI,Katalog Elektronik,22544852.1,3141000.0,1,0.0,0.0,22544852.1,6.1776,22485549.21,59302.89
PO-SYN-000004,2023,Direktorat Operasi,Hardware / Laptop,0,HP240R G9 CORE 7 150U 16GB 512SSD WIN11HOME FHD FP,Global Komputer,E-Katalog,3141000.0,3141000.0,7,0.0,103217846.18,21987000.0,0.0,2148675.44,992324.56
PO-SYN-000005,2024,Rumah Sakit Mutiara Sukma,Leptop,0,HP240R G9 CORE 7 150U 16GB 512SSD WIN11HOME FHD FP,Global Tech Solutions,Katalog Elektronik,8645190.96,19802058.63,1,0.07,0.0,8645190.96,-0.5634,6959714.39,1685476.57
PO-SYN-000006,2021,Kantor Kecamatan Malili,Pengadaan Laptop,0,PC Unit ExpertCenter EG3408WVAK-BPC515X and Laptop OmniBook 5 Flip 14-FP0558TU,CV. JUMPA KARYA ABADI,E-Katalog,7631917.37,49101493.28,2,0.0,298697354.6,15263834.74,-0.8446,6470650.41,1161266.96
PO-SYN-000007,2025,Dinas Kependudukan dan Pencatatan Sipil,Komputer/Laptop,0,"Laptop Intel Ultra 7, 14 inch, 16GB RAM, 512GB SSD, Win 11 Pro",CV. MALILI TEKNO,Katalog Elektronik,21959790.34,3141000.0,1,0.05,276928841.58,21959790.34,5.9913,18909854.64,3049935.7
PO-SYN-000008,2025,Direktorat Operasi,Electronics/Computers,0,PC Unit ExpertCenter EG3408WVAK-BPC515X and Laptop OmniBook 5 Flip 14-FP0558TU,CV. MALILI TEKNO,Direct/Official Channel,16223624.72,12869449.77,1,0.0,0.0,16223624.72,0.2606,15285349.1,938275.62
PO-SYN-000009,2023,Rumah Sakit Mutiara Sukma,Komputer/Laptop,1,AXIOO Mybook Pro F3 (4H9) i3-6157u/4GB/14,Global Komputer,Direct Procurement,24341753.22,3141000.0,3,0.0,0.0,73025259.66,6.7497,23536693.38,805059.84
PO-SYN-000010,2023,Kantor Inspektorat Kabupaten Lombok Barat,Electronics/Computers,0,HP240R G9 CORE 7 150U 16GB 512SSD WIN11HOME FHD FP,Internal Procurement/Standard Vendor,Katalog Elektronik,36492102.32,33605104.89,1,0.0,171500881.46,36492102.32,0.0859,34853096.7,1639005.62
PO-SYN-000011,2023,Direktorat Operasi,Electronics/Computers,0,AXIOO Mybook Pro F3 (4H9) i3-6157u/4GB/14,CV. MALILI TEKNO,mbizmarket.co.id,9797834.99,14811881.87,1,0.0,296103336.86,9797834.99,-0.3385,8240228.25,1557606.74
PO-SYN-000012,2021,Direktorat Sistem Pengadaan Digital,Electronics/Computers,1,"Laptop Intel Ultra 7, 14 inch, 16GB RAM, 512GB SSD, Win 11 Pro",CV. MALILI TEKNO,Direct/Official Channel,16994985.45,34820804.64,4,0.0,179302328.14,67979941.8,-0.5119,21310825.82,-4315840.37
PO-SYN-000013,2022,Kantor Inspektorat Kabupaten Lombok Barat,Pengadaan Laptop,0,AXIOO Mybook Pro F3 (4H9) i3-6157u/4GB/14,CV. MALILI TEKNO,E-Katalog,17634585.73,44261856.22,1,0.11,108271426.87,17634585.73,-0.6016,14546731.66,3087854.07
PO-SYN-000014,2022,Kantor Kecamatan Malili,Leptop,0,AXIOO Mybook Pro F3 (4H9) i3-6157u/4GB/14,CV. MALILI TEKNO,E-Katalog,19889847.12,3141000.0,2,0.07,468372177.73,39779694.24,5.3323,17494323.76,2395523.36
PO-SYN-000015,2022,Kantor Kecamatan Malili,Belanja Modal Alat Kantor,0,HP240R G9 CORE 7 150U 16GB 512SSD WIN11HOME FHD FP,CV. JUMPA KARYA ABADI,Katalog Elektronik,3976690.83,9493327.36,5,0.06,0.0,19883454.15,-0.5811,4005087.82,-28396.99
PO-SYN-000016,2021,Direktorat Operasi,Laptop,0,HP240R G9 CORE 7 150U 16GB 512SSD WIN11HOME FHD FP,Internal Procurement/Standard Vendor,mbizmarket.co.id,19983827.93,34233793.03,1,0.0,0.0,19983827.93,-0.4163,14587819.94,5396007.99
PO-SYN-000017,2024,Kantor Inspektorat Kabupaten Lombok Barat,Electronics/Computers,0,"Lenovo Yoga 7i 2in1, Intel Core Ultra 7, 16Gb RAM, 1Tb NVMe, Win 11 Pro",Sinar Niaga Teknologi,Direct/Official Channel,23502164.64,22328138.16,2,0.0,0.0,47004329.28,0.0526,23408768.88,93395.76
PO-SYN-000018,2022,Kantor Kecamatan Malili,Laptop,0,HP240R G9 CORE 7 150U 16GB 512SSD WIN11HOME FHD FP,CV. MALILI TEKNO,E-Katalog,12209936.42,4436880.11,2,0.07,574082012.51,24419872.84,1.7519,11121312.82,1088623.6
PO-SYN-000019,2024,Direktorat Sistem Pengadaan Digital,Pengadaan Laptop,0,"Lenovo Yoga 7i 2in1, Intel Core Ultra 7, 16Gb RAM, 1Tb NVMe, Win 11 Pro",Internal Procurement/Standard Vendor,E-Katalog,22820392.2,16683113.58,1,0.03,101328340.41,22820392.2,0.3679,24564539.99,-1744147.79
PO-SYN-000020,2024,Rumah Sakit Mutiara Sukma,Komputer/Laptop,0,AXIOO Mybook Pro F3 (4H9) i3-6157u/4GB/14,Global Komputer,Direct/Official Channel,14867629.2,23009443.44,2,0.0,381619714.21,29735258.4,-0.3538,14080267.59,787361.61
PO-SYN-000021,2022,Kantor Kecamatan Malili,Electronics/Computers,0,"Laptop Intel Ultra 7, 14 inch, 16GB RAM, 512GB SSD, Win 11 Pro",Global Komputer,Direct Procurement,32250366.18,3141000.0,7,0.0,237676004.46,225752563.26,9.2675,40352365.55,-8101999.37
PO-SYN-000022,2024,Direktorat Sistem Pengadaan Digital,Pengadaan Laptop,0,HP240R G9 CORE 7 150U 16GB 512SSD WIN11HOME FHD FP,Global Tech Solutions,mbizmarket.co.id,3141000.0,8407388.55,3,0.0,0.0,9423000.0,-0.6264,3230081.35,-89081.35
PO-SYN-000023,2021,Kantor Kecamatan Malili,Electronics/Computers,0,AXIOO Mybook Pro F3 (4H9) i3-6157u/4GB/14,Global Tech Solutions,mbizmarket.co.id,3141000.0,25904213.38,1,0.19,0.0,3141000.0,-0.8787,2984021.09,156978.91
PO-SYN-000024,2023,Kantor Kecamatan Malili,Electronics/Computers,0,PC Unit ExpertCenter EG3408WVAK-BPC515X and Laptop OmniBook 5 Flip 14-FP0558TU,Sinar Niaga Teknologi,Direct Procurement,32647822.31,3141000.0,3,0.17,0.0,97943466.93,9.3941,37157220.83,-4509398.52
PO-SYN-000025,2022,Kantor Inspektorat Kabupaten Lombok Barat,Belanja Modal Alat Kantor,0,AXIOO Mybook Pro F3 (4H9) i3-6157u/4GB/14,Sinar Niaga Teknologi,E-Katalog,22861620.43,31090389.99,1,0.0,220868885.61,22861620.43,-0.2647,19429006.37,3432614.06
PO-SYN-000026,2022,Direktorat Sistem Pengadaan Digital,Belanja Modal Alat Kantor,0,AXIOO Mybook Pro F3 (4H9) i3-6157u/4GB/14,Sinar Niaga Teknologi,mbizmarket.co.id,22695641.07,23764929.58,1,0.05,161612954.95,22695641.07,-0.045,22428795.49,266845.58
PO-SYN-000027,2025,Direktorat Sistem Pengadaan Digital,Hardware / Laptop,1,HP240R G9 CORE 7 150U 16GB 512SSD WIN11HOME FHD FP,CV. MALILI TEKNO,Direct/Official Channel,51247825.99,25908259.78,1,0.1,0.0,51247825.99,0.978,62021519.61,-10773693.62
PO-SYN-000028,2025,Kantor Kecamatan Malili,Laptop,0,"Laptop Intel Ultra 7, 14 inch, 16GB RAM, 512GB SSD, Win 11 Pro",Sinar Niaga Teknologi,Direct Procurement,38747527.04,4127203.25,6,0.07,298571848.63,232485162.24,8.3883,47840160.95,-9092633.91
PO-SYN-000029,2021,Rumah Sakit Mutiara Sukma,Leptop,0,AXIOO Mybook Pro F3 (4H9) i3-6157u/4GB/14,Sinar Niaga Teknologi,Direct/Official Channel,13930305.97,5253615.61,1,0.0,65772072.82,13930305.97,1.6516,12931438.24,998867.73
