source,source_id,url,title,brand,model,cpu,ram_gb,storage_gb,gpu,screen_size_in,price_idr,original_price_idr,condition,seller_name,seller_rating,seller_num_reviews,seller_is_official,sold_count,location,scraped_at,is_suspected_scam,scam_reasons
tokopedia,103175613088,https://www.tokopedia.com/royalltech/laptop-asus-vivobook-f1504vap-intel-core-i5-120u-i5-1235u-16gb-512gb-ssd-15-6-fhd-ips-windows-11-f1504za-f1502za-1730412882049598967-1734913183835784695?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D20260829105837B83AAC23B95287061YK7%26src%3Dsearch,Laptop ASUS Vivobook F1504VAP Intel Core i5-120U 16GB 512GB SSD 15.6”FHD IPS Windows 11 – F1504ZA / F1502ZA,Asus,F1504VAP,Intel Core i5-120U,16,512,,15.6,11309000,,new,royalltech,4.6,,False,500,Jakarta Utara,2026-08-29T10:58:46.176951,False,
tokopedia,14997359922,https://www.tokopedia.com/hosanacomp/laptop-asus-vivobook-go-e410ka-n4500-8gb-256gb-ssd-512gb-ssd-1tb-ssd-win11-ohs-8gb-256gb-ssd-windows-11-home-5c891?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D20260829105837B83AAC23B95287061YK7%26src%3Dsearch,LAPTOP ASUS VIVOBOOK GO E410KA - N4500 8GB 256GB SSD/512GB SSD/1TB SSD WIN11 + OHS,Asus,E410KA,Intel N4500,8,1024,,,6849000,,new,HOSANA COMPUTER,5.0,,False,20,Jakarta Pusat,2026-08-29T10:58:46.177274,False,
tokopedia,1395582448,https://www.tokopedia.com/hosanacomp/laptop-asus-a409jp-i5-1035g1-4gb-512gb-ssd-mx330-2gb-win10-ohs-14?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D20260829105837B83AAC23B95287061YK7%26src%3Dsearch,"LAPTOP ASUS A409JP i5 - 1035G1 4GB 512GB SSD MX330 2GB WIN10 + OHS 14""",Asus,A409JP,,4,512,,,10499000,,new,HOSANA COMPUTER,5.0,,False,1,Jakarta Pusat,2026-08-29T10:58:46.177431,False,
tokopedia,2542238886,https://www.tokopedia.com/hosanacomp/laptop-asus-a509fa-n4305u-8gb-256gb-ssd-15-6-intel-uhd-win10-ohs-4gb-256gb-ssd?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D20260829105837B83AAC23B95287061YK7%26src%3Dsearch,"LAPTOP ASUS A509FA - N4305U 8GB 256GB SSD 15.6"" INTEL UHD WIN10 OHS",Asus,A509FA,,8,256,,,5199000,,new,HOSANA COMPUTER,5.0,,False,10,Jakarta Pusat,2026-08-29T10:58:46.177582,False,
tokopedia,103629770816,https://www.tokopedia.com/gateway/hp-pc-aio-24-core-ultra-5-225u-16gb-512gb-ssd-w11-ohs-m365-23-8-inch-fhd-ips-cr2566d-1732747109624153525-1736701194363504053?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D20260829105837B83AAC23B95287061YK7%26src%3Dsearch,"ASUS TUF GAMING A16 FA607NUQ RYZEN 7 170 RTX4050 32GB 1TB W11+OHS+M365B 16"" FHD+ IPS LAPTOP GAMING",Asus,FA607NUQ,AMD Ryzen 7 170,32,1024,RTX4050,,22619000,,new,Gateway Indonesia Comp,5.0,,False,5,Jakarta Utara,2026-08-29T10:58:46.177746,False,
tokopedia,103568217966,https://www.tokopedia.com/gateway/asus-zenbook-14-oled-um3402ya-touch-ryzen-7-7730-ryzen-5-7530-16gb-1tb-ssd-w11-14-inch-2-8k-1729899868308407733-1736464321747846581?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D20260829105837B83AAC23B95287061YK7%26src%3Dsearch,"ASUS VIVOBOOK 15 F1504ZA TOUCH CORE I7 1255 16GB 512GB W11 15.6"" FHD IPS LAPTOP",Asus,F1504ZA,Intel Core i7-1255,16,512,,,12149000,,new,Gateway Indonesia Comp,5.0,,False,50,Jakarta Utara,2026-08-29T10:58:46.177895,False,
tokopedia,103573992816,https://www.tokopedia.com/rogsstoreid/hp-pavilion-16-touch-core-ultra-5-125u-16gb-1tb-ssd-w11-ohs-16-wuxga-af0777tu-1736480563263210828?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D20260829105837B83AAC23B95287061YK7%26src%3Dsearch,[LIMITED] ASUS ROG STRIX G18 G814FP RTX5070 AMD RYZEN 9 9955HX RAM 64GB SSD 2TB W11 18-INCH QHD IPS 240HZ LAPTOP GAMING,Asus,G814FP,AMD Ryzen 9 9955HX,64,2048,RTX5070,,70999000,,new,ROGS STORE,5.0,,False,1,Jakarta Utara,2026-08-29T10:58:46.178013,False,
tokopedia,15584270889,https://www.tokopedia.com/asusrogindonesia/laptop-asus-tuf-a16-fa607nug-ryzen-7-7445hs-rtx4050-6gb-16gb-512gb-w11-ohs-m365b-ips-gry-r745j6m-hm-1730769219834447498?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D20260829105837B83AAC23B95287061YK7%26src%3Dsearch,Laptop ASUS TUF A16 FA607NUG RYZEN 7 7445HS RTX4050 6GB/ 16GB 512GB W11+OHS+M365B IPS GRY -R745J6M-HM,Asus,FA607NUG,AMD Ryzen 7 7445HS,16,512,RTX4050,,22379000,,new,ASUS ROG Indonesia,5.0,,False,250,Jakarta Utara,2026-08-29T10:58:46.178184,False,
tokopedia,103106494804,https://www.tokopedia.com/gateway/asus-tuf-gaming-a15-ryzen-7-7445hs-rtx3050-16gb-512gb-w11-office-15-6-inch-fhd-fa506ncg-1729962642812274101-1734690458514195893?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D20260829105837B83AAC23B95287061YK7%26src%3Dsearch,"ASUS TUF GAMING A15 FA506NCG RYZEN 7 7445HS RTX3050 32GB 1TB W11+OHS+M365B 15.6"" FHD IPS LAPTOP GAMING",Asus,FA506NCG,AMD Ryzen 7 7445HS,32,1024,RTX3050,,14259000,,new,Gateway Indonesia Comp,5.0,,False,100,Jakarta Utara,2026-08-29T10:58:46.180109,False,
tokopedia,102316114277,https://www.tokopedia.com/gateway/asus-zenbook-14-oled-um3406ha-touch-ryzen-7-8840-16gb-1tb-ssd-w11-14-inch-2-8k-1732626294180971957?extParam=ivf%3Dfalse%26keyword%3Dlaptop+asus%26search_id%3D20260829105837B83AAC23B95287061YK7%26src%3Dsearch,ASUS ZENBOOK 14 OLED UM3406HA TOUCH RYZEN 7 8840 16GB 1TB SSD W11 14 INCH 2.8K LAPTOP,Asus,UM3406HA,AMD Ryzen 7 8840,16,1024,,14.0,17549000,,new,Gateway Indonesia Comp,5.0,,False,50,Jakarta Utara,2026-08-29T10:58:46.180464,False,
tokopedia,100281729921,https://www.tokopedia.com/teknotrend/laptop-asus-vivobook-14-a1404va-i3-1315u-8gb-512gb-14-fhd-ohs-w11-1731298410323806146?extParam=ivf%3Dtrue%26keyword%3Dlaptop+asus%26search_id%3D20260829105837B83AAC23B95287061YK7%26src%3Dsearch,"Laptop Asus VIVOBOOK 14 A1404VA i3-1315U 8GB 512GB 14"" FHD OHS W11",Asus,A1404VA,Intel Core i3-1315U,8,512,,,9939500,,new,TeknoTrend ID,5.0,,False,750,Jakarta Pusat,2026-08-29T10:58:46.180867,False,
